state_name,class_name,candidate_name,is_valid,uses_old_codespace_only,avg_codeword_entanglement,overlap_with_old_codespace,best_depth,mean_depth,std_depth,best_size,mean_size,best_two_qubit_gate_count,mean_two_qubit_gate_count,num_qubits,best_count_ops,n_transpile_runs,successful_trials,failed_trials,status,error_message,approx_ref_depth,approx_ref_two_qubit_gate_count,approx_status,approx_error_message,fid085_best_approx_degree,fid085_best_fidelity,fid085_best_depth,fid085_best_two_qubit_gate_count,fid090_best_approx_degree,fid090_best_fidelity,fid090_best_depth,fid090_best_two_qubit_gate_count,fid095_best_approx_degree,fid095_best_fidelity,fid095_best_depth,fid095_best_two_qubit_gate_count,is_baseline_reference,is_trivial_identity,is_baseline_equivalent,skip_reason,pipeline_stage
ame43,baseline,E_old,True,True,0.0,1.0,114.0,128.0,8.85,298.0,314.75,77.0,79.85,128.0,"{'rz': 94, 'sx': 80, 'rx': 47, 'cz': 42, 'rzz': 35, 'barrier': 8}",20,20,0,ok,,34.0,32.0,ok,,0.95,0.987833544029,31.0,28.0,0.95,0.987833544029,31.0,28.0,0.95,0.987833544029,31.0,28.0,True,True,True,,
ame43,monomial_full,sup012_P012_ph001,True,True,0.0,1.0,113.0,151.5,15.15,345.0,361.95,89.0,91.05,128.0,"{'rz': 106, 'sx': 95, 'rx': 55, 'cz': 51, 'rzz': 38, 'barrier': 8}",20,20,0,ok,,38.0,36.0,ok,,0.96,0.987833544029,35.0,32.0,0.96,0.987833544029,35.0,32.0,0.96,0.987833544029,35.0,32.0,False,False,False,,
ame43,monomial_full,sup012_P012_ph002,True,True,0.0,1.0,111.0,149.6,14.88,341.0,357.65,89.0,91.05,128.0,"{'rz': 106, 'sx': 95, 'rx': 51, 'cz': 51, 'rzz': 38, 'barrier': 8}",20,20,0,ok,,36.0,36.0,ok,,0.96,0.987833544029,33.0,32.0,0.96,0.987833544029,33.0,32.0,0.96,0.987833544029,33.0,32.0,False,False,False,,
ame43,monomial_full,sup012_P012_ph010,True,True,0.0,1.0,112.0,150.95,15.07,347.0,362.45,89.0,91.05,128.0,"{'rz': 106, 'sx': 95, 'rx': 57, 'cz': 51, 'rzz': 38, 'barrier': 8}",20,20,0,ok,,38.0,36.0,ok,,0.96,0.987833544029,35.0,32.0,0.96,0.987833544029,35.0,32.0,0.96,0.987833544029,35.0,32.0,False,False,False,,
ame43,monomial_full,sup012_P012_ph011,True,True,0.0,1.0,111.0,149.0,14.97,337.0,354.0,89.0,91.05,128.0,"{'rz': 102, 'sx': 95, 'rx': 51, 'cz': 51, 'rzz': 38, 'barrier': 8}",20,20,0,ok,,36.0,36.0,ok,,0.96,0.987833544029,33.0,32.0,0.96,0.987833544029,33.0,32.0,0.96,0.987833544029,33.0,32.0,False,False,False,,
ame43,monomial_full,sup012_P012_ph012,True,True,0.0,1.0,106.0,144.6,14.98,321.0,347.0,86.0,86.35,128.0,"{'sx': 102, 'rz': 91, 'cz': 54, 'rx': 42, 'rzz': 32, 'barrier': 8}",20,20,0,ok,,34.0,32.0,ok,,0.99,0.987833544029,31.0,28.0,0.99,0.987833544029,31.0,28.0,0.99,0.987833544029,31.0,28.0,False,False,False,,
ame43,monomial_full,sup012_P012_ph020,True,True,0.0,1.0,111.0,150.0,15.31,341.0,359.2,89.0,91.05,128.0,"{'rz': 106, 'sx': 95, 'rx': 51, 'cz': 51, 'rzz': 38, 'barrier': 8}",20,20,0,ok,,36.0,36.0,ok,,0.96,0.987833544029,33.0,32.0,0.96,0.987833544029,33.0,32.0,0.96,0.987833544029,33.0,32.0,False,False,False,,
ame43,monomial_full,sup012_P012_ph021,True,True,0.0,1.0,106.0,144.6,14.98,321.0,347.0,86.0,86.35,128.0,"{'sx': 102, 'rz': 91, 'cz': 54, 'rx': 42, 'rzz': 32, 'barrier': 8}",20,20,0,ok,,34.0,32.0,ok,,0.95,0.987833544029,31.0,28.0,0.95,0.987833544029,31.0,28.0,0.95,0.987833544029,31.0,28.0,False,False,False,,
ame43,monomial_full,sup012_P012_ph022,True,True,0.0,1.0,111.0,150.3,15.24,343.0,358.1,89.0,91.05,128.0,"{'rz': 102, 'sx': 95, 'rx': 57, 'cz': 51, 'rzz': 38, 'barrier': 8}",20,20,0,ok,,37.0,36.0,ok,,0.96,0.987833544029,34.0,32.0,0.96,0.987833544029,34.0,32.0,0.96,0.987833544029,34.0,32.0,False,False,False,,
ame43,monomial_full,sup012_P012_ph100,True,True,0.0,1.0,111.0,149.1,15.17,339.0,356.7,89.0,91.05,128.0,"{'rz': 106, 'sx': 95, 'cz': 51, 'rx': 49, 'rzz': 38, 'barrier': 8}",20,20,0,ok,,36.0,36.0,ok,,0.96,0.987833544029,33.0,32.0,0.96,0.987833544029,33.0,32.0,0.96,0.987833544029,33.0,32.0,False,False,False,,
