state_name,state_family,n_qutrits,class_name,candidate_name,is_valid,uses_old_codespace_only,avg_codeword_entanglement,overlap_with_old_codespace,best_depth,mean_depth,std_depth,best_size,mean_size,best_two_qubit_gate_count,mean_two_qubit_gate_count,num_qubits,best_count_ops,n_transpile_runs,successful_trials,failed_trials,status,error_message,approx_ref_depth,approx_ref_two_qubit_gate_count,approx_status,approx_error_message,fid085_best_approx_degree,fid085_best_fidelity,fid085_best_depth,fid085_best_two_qubit_gate_count,fid090_best_approx_degree,fid090_best_fidelity,fid090_best_depth,fid090_best_two_qubit_gate_count,fid095_best_approx_degree,fid095_best_fidelity,fid095_best_depth,fid095_best_two_qubit_gate_count,suite_name,is_baseline_reference,is_trivial_identity,is_baseline_equivalent,skip_reason,pipeline_stage
path4,path,4,baseline,E_old,True,True,0.0,1.0,65.0,80.2,11.7,213.0,220.4,51.0,51.6,128.0,"{'rz': 72, 'sx': 50, 'rx': 40, 'cz': 27, 'rzz': 24, 'barrier': 8}",5,5,0,ok,,26.0,24.0,ok,,0.95,0.881565516261,23.0,20.0,0.99,0.987833544029,23.0,20.0,0.99,0.987833544029,23.0,20.0,custom_states,True,True,True,,
path4,path,4,monomial_full,sup012_P012_ph001,True,True,0.0,1.0,82.0,82.6,0.49,255.0,255.8,61.0,61.0,128.0,"{'rz': 84, 'sx': 62, 'rx': 48, 'cz': 33, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,30.0,28.0,ok,,0.96,0.881565516261,27.0,24.0,0.99,0.987833544029,27.0,24.0,0.99,0.987833544029,27.0,24.0,custom_states,False,False,False,,
path4,path,4,monomial_full,sup012_P012_ph002,True,True,0.0,1.0,82.0,82.6,0.49,263.0,263.2,61.0,61.0,128.0,"{'rz': 84, 'sx': 62, 'rx': 56, 'cz': 33, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,30.0,28.0,ok,,0.95,0.881565516261,27.0,24.0,0.99,0.987833544029,27.0,24.0,0.99,0.987833544029,27.0,24.0,custom_states,False,False,False,,
path4,path,4,monomial_full,sup012_P012_ph010,True,True,0.0,1.0,81.0,82.2,0.98,255.0,255.2,61.0,61.0,128.0,"{'rz': 84, 'sx': 62, 'rx': 48, 'cz': 33, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,30.0,28.0,ok,,0.95,0.881565516261,27.0,24.0,0.99,0.987833544029,27.0,24.0,0.99,0.987833544029,27.0,24.0,custom_states,False,False,False,,
path4,path,4,monomial_full,sup012_P012_ph011,True,True,0.0,1.0,82.0,82.6,0.49,251.0,255.8,61.0,61.0,128.0,"{'rz': 84, 'sx': 62, 'rx': 44, 'cz': 33, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,28.0,28.0,ok,,0.95,0.967364800501,25.0,24.0,0.95,0.967364800501,25.0,24.0,0.95,0.967364800501,25.0,24.0,custom_states,False,False,False,,
path4,path,4,monomial_full,sup012_P012_ph012,True,True,0.0,1.0,78.0,78.0,0.0,235.0,235.0,57.0,57.0,128.0,"{'rz': 76, 'sx': 62, 'rx': 40, 'cz': 33, 'rzz': 24, 'barrier': 8}",5,5,0,ok,,26.0,24.0,ok,,0.99,0.987833544029,23.0,20.0,0.99,0.987833544029,23.0,20.0,0.99,0.987833544029,23.0,20.0,custom_states,False,False,False,,
path4,path,4,monomial_full,sup012_P012_ph020,True,True,0.0,1.0,82.0,82.6,0.49,251.0,255.8,61.0,61.0,128.0,"{'rz': 84, 'sx': 62, 'rx': 44, 'cz': 33, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,28.0,28.0,ok,,0.96,0.881565516261,25.0,24.0,0.99,0.987833544029,25.0,24.0,0.99,0.987833544029,25.0,24.0,custom_states,False,False,False,,
path4,path,4,monomial_full,sup012_P012_ph021,True,True,0.0,1.0,78.0,78.0,0.0,235.0,235.0,57.0,57.0,128.0,"{'rz': 76, 'sx': 62, 'rx': 40, 'cz': 33, 'rzz': 24, 'barrier': 8}",5,5,0,ok,,26.0,24.0,ok,,0.95,0.881565516261,23.0,20.0,0.99,0.987833544029,23.0,20.0,0.99,0.987833544029,23.0,20.0,custom_states,False,False,False,,
path4,path,4,monomial_full,sup012_P012_ph022,True,True,0.0,1.0,81.0,82.2,0.98,255.0,255.2,61.0,61.0,128.0,"{'rz': 84, 'sx': 62, 'rx': 48, 'cz': 33, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,30.0,28.0,ok,,0.96,0.881565516261,27.0,24.0,0.99,0.987833544029,27.0,24.0,0.99,0.987833544029,27.0,24.0,custom_states,False,False,False,,
path4,path,4,monomial_full,sup012_P012_ph100,True,True,0.0,1.0,82.0,82.6,0.49,259.0,255.8,61.0,61.0,128.0,"{'rz': 84, 'sx': 62, 'rx': 52, 'cz': 33, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,30.0,28.0,ok,,0.96,0.881565516261,27.0,24.0,0.99,0.987833544029,27.0,24.0,0.99,0.987833544029,27.0,24.0,custom_states,False,False,False,,
path4,path,4,monomial_full,sup012_P012_ph101,True,True,0.0,1.0,77.0,77.4,0.49,231.0,232.8,57.0,57.0,128.0,"{'rz': 72, 'sx': 62, 'rx': 40, 'cz': 33, 'rzz': 24, 'barrier': 8}",5,5,0,ok,,26.0,24.0,ok,,0.95,0.887337561515,23.0,20.0,0.99,0.987833544029,23.0,20.0,0.99,0.987833544029,23.0,20.0,custom_states,False,False,False,,
path4,path,4,monomial_full,sup012_P012_ph102,True,True,0.0,1.0,81.0,82.2,0.98,255.0,255.2,61.0,61.0,128.0,"{'rz': 84, 'sx': 62, 'rx': 48, 'cz': 33, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,30.0,28.0,ok,,0.96,0.86526466326,27.0,24.0,0.99,0.98403145781,27.0,24.0,0.99,0.98403145781,27.0,24.0,custom_states,False,False,False,,
path4,path,4,monomial_full,sup012_P012_ph110,True,True,0.0,1.0,77.0,77.6,0.49,231.0,233.2,57.0,57.0,128.0,"{'rz': 72, 'sx': 62, 'rx': 40, 'cz': 33, 'rzz': 24, 'barrier': 8}",5,5,0,ok,,26.0,24.0,ok,,0.95,0.881565516261,23.0,20.0,0.99,0.987833544029,23.0,20.0,0.99,0.987833544029,23.0,20.0,custom_states,False,False,False,,
path4,path,4,monomial_full,sup012_P012_ph112,True,True,0.0,1.0,82.0,82.6,0.49,259.0,255.8,61.0,61.0,128.0,"{'rz': 84, 'sx': 62, 'rx': 52, 'cz': 33, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,30.0,28.0,ok,,0.95,0.881565516261,27.0,24.0,0.99,0.987833544029,27.0,24.0,0.99,0.987833544029,27.0,24.0,custom_states,False,False,False,,
path4,path,4,monomial_full,sup012_P012_ph120,True,True,0.0,1.0,82.0,82.6,0.49,255.0,255.8,61.0,61.0,128.0,"{'rz': 84, 'sx': 62, 'rx': 48, 'cz': 33, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,30.0,28.0,ok,,0.91,0.850256907043,27.0,24.0,0.99,0.98403145781,27.0,24.0,0.99,0.98403145781,27.0,24.0,custom_states,False,False,False,,
path4,path,4,monomial_full,sup012_P012_ph121,True,True,0.0,1.0,80.0,81.2,0.98,247.0,248.4,61.0,61.0,128.0,"{'rz': 84, 'sx': 62, 'rx': 40, 'cz': 33, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,28.0,28.0,ok,,0.96,0.881565516261,25.0,24.0,0.99,0.987833544029,25.0,24.0,0.99,0.987833544029,25.0,24.0,custom_states,False,False,False,,
path4,path,4,monomial_full,sup012_P012_ph122,True,True,0.0,1.0,78.0,78.0,0.0,235.0,235.0,57.0,57.0,128.0,"{'rz': 76, 'sx': 62, 'rx': 40, 'cz': 33, 'rzz': 24, 'barrier': 8}",5,5,0,ok,,26.0,24.0,ok,,0.95,0.899848527184,23.0,20.0,0.99,0.987833544029,23.0,20.0,0.99,0.987833544029,23.0,20.0,custom_states,False,False,False,,
path4,path,4,monomial_full,sup012_P012_ph200,True,True,0.0,1.0,81.0,82.2,0.98,255.0,255.2,61.0,61.0,128.0,"{'rz': 84, 'sx': 62, 'rx': 48, 'cz': 33, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,30.0,28.0,ok,,0.96,0.881565516261,27.0,24.0,0.99,0.987833544029,27.0,24.0,0.99,0.987833544029,27.0,24.0,custom_states,False,False,False,,
path4,path,4,monomial_full,sup012_P012_ph201,True,True,0.0,1.0,82.0,82.6,0.49,251.0,255.8,61.0,61.0,128.0,"{'rz': 84, 'sx': 62, 'rx': 44, 'cz': 33, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,28.0,28.0,ok,,0.96,0.86526466326,25.0,24.0,0.99,0.98403145781,25.0,24.0,0.99,0.98403145781,25.0,24.0,custom_states,False,False,False,,
path4,path,4,monomial_full,sup012_P012_ph202,True,True,0.0,1.0,77.0,77.4,0.49,231.0,232.8,57.0,57.0,128.0,"{'rz': 72, 'sx': 62, 'rx': 40, 'cz': 33, 'rzz': 24, 'barrier': 8}",5,5,0,ok,,26.0,24.0,ok,,0.91,0.855738673908,23.0,20.0,0.99,0.946673107426,23.0,20.0,,,,,custom_states,False,False,False,,
path4,path,4,monomial_full,sup012_P012_ph210,True,True,0.0,1.0,82.0,82.6,0.49,251.0,255.8,61.0,61.0,128.0,"{'rz': 84, 'sx': 62, 'rx': 44, 'cz': 33, 'rzz': 28, 'barrier': 8}",5,5,0,ok,,28.0,28.0,ok,,0.95,0.97190574996,25.0,24.0,0.95,0.97190574996,25.0,24.0,0.95,0.97190574996,25.0,24.0,custom_states,False,False,False,,
