state_name,class_name,candidate_name,is_valid,uses_old_codespace_only,avg_codeword_entanglement,overlap_with_old_codespace,best_depth,mean_depth,std_depth,best_size,mean_size,best_two_qubit_gate_count,mean_two_qubit_gate_count,num_qubits,best_count_ops,n_transpile_runs,successful_trials,failed_trials,status,error_message,approx_ref_depth,approx_ref_two_qubit_gate_count,approx_status,approx_error_message,fid085_best_approx_degree,fid085_best_fidelity,fid085_best_depth,fid085_best_two_qubit_gate_count,fid090_best_approx_degree,fid090_best_fidelity,fid090_best_depth,fid090_best_two_qubit_gate_count,fid095_best_approx_degree,fid095_best_fidelity,fid095_best_depth,fid095_best_two_qubit_gate_count,is_baseline_reference,is_trivial_identity,is_baseline_equivalent,skip_reason,pipeline_stage
ghz3,baseline,E_old,True,True,0.0,1.0,47.0,53.9,9.75,141.0,148.0,32.0,33.05,128.0,"{'rz': 52, 'rx': 30, 'sx': 27, 'rzz': 17, 'cz': 15, 'barrier': 6}",20,20,0,ok,,22.0,17.0,ok,,0.95,0.990861210065,19.0,14.0,0.95,0.990861210065,19.0,14.0,0.95,0.990861210065,19.0,14.0,True,True,True,,
ghz3,monomial_full,sup012_P012_ph101,True,True,0.0,1.0,55.0,58.85,7.45,159.0,163.8,38.0,39.05,128.0,"{'rz': 52, 'sx': 39, 'rx': 30, 'cz': 21, 'rzz': 17, 'barrier': 6}",20,20,0,ok,,22.0,17.0,ok,,0.95,0.94058678411,19.0,14.0,0.95,0.94058678411,19.0,14.0,0.99,0.990861210065,19.0,14.0,False,False,False,,
ghz3,monomial_full,sup012_P012_ph110,True,True,0.0,1.0,55.0,59.1,7.11,159.0,164.7,38.0,39.05,128.0,"{'rz': 52, 'sx': 39, 'rx': 30, 'cz': 21, 'rzz': 17, 'barrier': 6}",20,20,0,ok,,22.0,17.0,ok,,0.95,0.990861210065,19.0,14.0,0.95,0.990861210065,19.0,14.0,0.95,0.990861210065,19.0,14.0,False,False,False,,
ghz3,monomial_full,sup012_P012_ph202,True,True,0.0,1.0,55.0,58.85,7.45,159.0,163.8,38.0,39.05,128.0,"{'rz': 52, 'sx': 39, 'rx': 30, 'cz': 21, 'rzz': 17, 'barrier': 6}",20,20,0,ok,,22.0,17.0,ok,,0.95,0.959732120433,19.0,14.0,0.95,0.959732120433,19.0,14.0,0.95,0.959732120433,19.0,14.0,False,False,False,,
ghz3,monomial_full,sup012_P012_ph220,True,True,0.0,1.0,55.0,59.1,7.11,159.0,164.7,38.0,39.05,128.0,"{'rz': 52, 'sx': 39, 'rx': 30, 'cz': 21, 'rzz': 17, 'barrier': 6}",20,20,0,ok,,22.0,17.0,ok,,0.95,0.990861210065,19.0,14.0,0.95,0.990861210065,19.0,14.0,0.95,0.990861210065,19.0,14.0,False,False,False,,
ghz3,monomial_full,sup012_P012_ph012,True,True,0.0,1.0,56.0,59.5,7.27,162.0,165.75,38.0,39.05,128.0,"{'rz': 55, 'sx': 39, 'rx': 30, 'cz': 21, 'rzz': 17, 'barrier': 6}",20,20,0,ok,,22.0,17.0,ok,,0.95,0.859804313793,19.0,14.0,0.99,0.990861210065,19.0,14.0,0.99,0.990861210065,19.0,14.0,False,False,False,,
ghz3,monomial_full,sup012_P012_ph021,True,True,0.0,1.0,56.0,59.5,7.27,162.0,165.75,38.0,39.05,128.0,"{'rz': 55, 'sx': 39, 'rx': 30, 'cz': 21, 'rzz': 17, 'barrier': 6}",20,20,0,ok,,22.0,17.0,ok,,0.95,0.990861210065,19.0,14.0,0.95,0.990861210065,19.0,14.0,0.95,0.990861210065,19.0,14.0,False,False,False,,
ghz3,monomial_full,sup012_P012_ph122,True,True,0.0,1.0,56.0,59.5,7.27,162.0,165.75,38.0,39.05,128.0,"{'rz': 55, 'sx': 39, 'rx': 30, 'cz': 21, 'rzz': 17, 'barrier': 6}",20,20,0,ok,,22.0,17.0,ok,,0.95,0.951267178893,19.0,14.0,0.95,0.951267178893,19.0,14.0,0.95,0.951267178893,19.0,14.0,False,False,False,,
ghz3,monomial_full,sup012_P012_ph211,True,True,0.0,1.0,56.0,59.5,7.27,162.0,165.75,38.0,39.05,128.0,"{'rz': 55, 'sx': 39, 'rx': 30, 'cz': 21, 'rzz': 17, 'barrier': 6}",20,20,0,ok,,22.0,17.0,ok,,0.95,0.990861210065,19.0,14.0,0.95,0.990861210065,19.0,14.0,0.95,0.990861210065,19.0,14.0,False,False,False,,
ghz3,product,U_Z__V_Z,True,True,0.0,1.0,56.0,59.5,7.27,162.0,165.75,38.0,39.05,128.0,"{'rz': 55, 'sx': 39, 'rx': 30, 'cz': 21, 'rzz': 17, 'barrier': 6}",20,20,0,ok,,22.0,17.0,ok,,0.95,0.990861210065,19.0,14.0,0.95,0.990861210065,19.0,14.0,0.95,0.990861210065,19.0,14.0,False,False,False,,
