state_name,class_name,candidate_name,is_valid,uses_old_codespace_only,avg_codeword_entanglement,overlap_with_old_codespace,best_depth,mean_depth,std_depth,best_size,mean_size,best_two_qubit_gate_count,mean_two_qubit_gate_count,num_qubits,best_count_ops,n_transpile_runs,successful_trials,failed_trials,status,error_message,approx_ref_depth,approx_ref_two_qubit_gate_count,approx_status,approx_error_message,fid085_best_approx_degree,fid085_best_fidelity,fid085_best_depth,fid085_best_two_qubit_gate_count,fid090_best_approx_degree,fid090_best_fidelity,fid090_best_depth,fid090_best_two_qubit_gate_count,fid095_best_approx_degree,fid095_best_fidelity,fid095_best_depth,fid095_best_two_qubit_gate_count,is_baseline_reference,is_trivial_identity,is_baseline_equivalent,skip_reason
ghz3,monomial_full,sup012_P012_ph012,True,True,0.0,1.0,59,65.75,5.5,125,130.25,35,36.15,128,"{'sx': 44, 'rz': 33, 'cz': 24, 'rx': 13, 'rzz': 11}",20,20,0,ok,,15,11,ok,,0.99,1.0,15,11,0.99,1.0,15,11,0.99,1.0,15.0,11.0,False,False,False,
ghz3,product,U_Z__V_Z,True,True,0.0,1.0,59,65.8,5.51,125,130.45,35,36.15,128,"{'sx': 44, 'rz': 33, 'cz': 24, 'rx': 13, 'rzz': 11}",20,20,0,ok,,15,11,ok,,0.91,1.0,15,11,0.91,1.0,15,11,0.91,1.0,15.0,11.0,False,False,False,
ghz3,monomial_full,sup012_P012_ph202,True,True,0.0,1.0,59,65.85,5.52,129,135.8,35,36.15,128,"{'sx': 44, 'rz': 37, 'cz': 24, 'rx': 13, 'rzz': 11}",20,20,0,ok,,15,11,ok,,0.9,0.946950217557,15,11,0.9,0.946950217557,15,11,,,,,False,False,False,
ghz3,product,U_Z__V_H,True,False,0.0,0.833333,60,67.5,5.22,129,135.3,35,36.15,128,"{'sx': 44, 'rz': 36, 'cz': 24, 'rx': 14, 'rzz': 11}",20,20,0,ok,,17,11,ok,,0.96,1.0,17,11,0.96,1.0,17,11,0.96,1.0,17.0,11.0,False,False,False,
ghz3,monomial_full,sup012_P012_ph110,True,True,0.0,1.0,57,65.25,4.72,134,132.35,38,36.5,128,"{'sx': 49, 'rz': 35, 'cz': 28, 'rx': 12, 'rzz': 10}",20,20,0,ok,,15,11,ok,,0.96,1.0,15,11,0.96,1.0,15,11,0.96,1.0,15.0,11.0,False,False,False,
ghz3,product,U_SX__V_SXdg,True,False,0.0,0.75,57,65.35,5.32,134,132.25,38,36.15,128,"{'sx': 48, 'rz': 30, 'cz': 28, 'rx': 18, 'rzz': 10}",20,20,0,ok,,15,11,ok,,0.92,0.931431071549,15,11,0.92,0.931431071549,15,11,0.99,1.0,15.0,11.0,False,False,False,
ghz3,monomial_full,sup012_P012_ph220,True,True,0.0,1.0,57,65.9,5.69,135,135.65,38,36.15,128,"{'sx': 48, 'rz': 35, 'cz': 28, 'rx': 14, 'rzz': 10}",20,20,0,ok,,15,11,ok,,0.91,1.0,15,11,0.91,1.0,15,11,0.91,1.0,15.0,11.0,False,False,False,
ghz3,product,U_SXdg__V_SX,True,False,0.0,0.75,58,65.55,5.64,134,132.25,38,36.15,128,"{'sx': 48, 'rz': 30, 'cz': 28, 'rx': 18, 'rzz': 10}",20,20,0,ok,,15,11,ok,,0.92,0.890616516947,15,11,0.98,1.0,15,11,0.98,1.0,15.0,11.0,False,False,False,
ghz3,monomial_full,sup012_P012_ph021,True,True,0.0,1.0,59,65.85,5.39,132,130.9,38,36.15,128,"{'sx': 48, 'rz': 32, 'cz': 28, 'rx': 14, 'rzz': 10}",20,20,0,ok,,15,11,ok,,0.91,0.984855922795,15,11,0.91,0.984855922795,15,11,0.91,0.984855922795,15.0,11.0,False,False,False,
ghz3,monomial_full,sup012_P012_ph101,True,True,0.0,1.0,59,65.9,5.36,137,136.0,38,36.15,128,"{'sx': 48, 'rz': 37, 'cz': 28, 'rx': 14, 'rzz': 10}",20,20,0,ok,,15,11,ok,,0.96,0.912186753507,15,11,0.96,0.912186753507,15,11,0.99,1.0,15.0,11.0,False,False,False,
