state_name,state_family,n_qutrits,class_name,candidate_name,best_depth,best_size,best_two_qubit_gate_count,mean_depth,std_depth,mean_two_qubit_gate_count,is_baseline_reference,is_trivial_identity,is_baseline_equivalent,skip_reason
ghz4,ghz_star,4,baseline,E_old,69.0,213.0,51.0,80.0,8.99,50.4,True,True,True,
ghz4,ghz_star,4,clifford_wh,X0Z1F0,78.0,235.0,57.0,78.0,0.0,57.0,False,False,False,
ghz4,ghz_star,4,clifford_wh,X0Z2F0,78.0,235.0,57.0,78.0,0.0,57.0,False,False,False,
ghz4,ghz_star,4,clifford_wh,X1Z0F2,83.0,253.0,61.0,83.0,0.0,61.0,False,False,False,
ghz4,ghz_star,4,entangling_isometry,ent_000,91.0,315.0,69.0,91.0,0.0,69.0,False,False,False,
ghz4,ghz_star,4,entangling_isometry,ent_001,91.0,315.0,69.0,91.0,0.0,69.0,False,False,False,
ghz4,ghz_star,4,entangling_isometry,ent_002,91.0,315.0,69.0,91.0,0.0,69.0,False,False,False,
ghz4,ghz_star,4,finer_structured,fine_t0.00_p1.20_a0.50,86.0,271.0,61.0,86.0,0.0,61.0,False,False,False,
ghz4,ghz_star,4,finer_structured,fine_t0.00_p1.45_a0.50,86.0,271.0,61.0,86.0,0.0,61.0,False,False,False,
ghz4,ghz_star,4,finer_structured,fine_t0.00_p1.57_a0.80,86.0,271.0,61.0,86.0,0.0,61.0,False,False,False,
ghz4,ghz_star,4,fourier_like,D000_F3_D000,91.0,315.0,69.0,91.0,0.0,69.0,False,False,False,
ghz4,ghz_star,4,fourier_like,D000_F3_D001,91.0,315.0,69.0,91.0,0.0,69.0,False,False,False,
ghz4,ghz_star,4,fourier_like,D000_F3_D010,91.0,315.0,69.0,91.0,0.0,69.0,False,False,False,
ghz4,ghz_star,4,haar_random_isometry,haar_000,91.0,315.0,69.0,91.0,0.0,69.0,False,False,False,
ghz4,ghz_star,4,haar_random_isometry,haar_001,91.0,315.0,69.0,91.0,0.0,69.0,False,False,False,
ghz4,ghz_star,4,haar_random_isometry,haar_002,91.0,315.0,69.0,91.0,0.0,69.0,False,False,False,
ghz4,ghz_star,4,householder_random,rand_000,91.0,315.0,69.0,91.0,0.0,69.0,False,False,False,
ghz4,ghz_star,4,householder_random,rand_001,91.0,315.0,69.0,91.0,0.0,69.0,False,False,False,
ghz4,ghz_star,4,householder_random,rand_002,91.0,315.0,69.0,91.0,0.0,69.0,False,False,False,
ghz4,ghz_star,4,local_general_su2,lsu2_003,84.0,265.0,61.0,84.0,0.0,61.0,False,False,False,
ghz4,ghz_star,4,local_general_su2,lsu2_013,84.0,265.0,61.0,84.0,0.0,61.0,False,False,False,
ghz4,ghz_star,4,local_general_su2,lsu2_017,84.0,265.0,61.0,84.0,0.0,61.0,False,False,False,
ghz4,ghz_star,4,local_ry_only,ry_0.000_3.142,77.0,235.0,57.0,77.0,0.0,57.0,False,False,False,
ghz4,ghz_star,4,local_ry_only,ry_0.000_0.628,77.0,239.0,57.0,77.0,0.0,57.0,False,False,False,
ghz4,ghz_star,4,local_ry_only,ry_0.000_1.257,77.0,239.0,57.0,77.0,0.0,57.0,False,False,False,
ghz4,ghz_star,4,monomial_full,sup012_P012_ph101,77.0,231.0,57.0,77.0,0.0,57.0,False,False,False,
ghz4,ghz_star,4,monomial_full,sup012_P012_ph202,77.0,231.0,57.0,77.0,0.0,57.0,False,False,False,
ghz4,ghz_star,4,monomial_full,sup012_P012_ph012,78.0,235.0,57.0,78.0,0.0,57.0,False,False,False,
ghz4,ghz_star,4,monomial_old_codespace,P012_ph101,77.0,231.0,57.0,77.0,0.0,57.0,False,False,False,
ghz4,ghz_star,4,monomial_old_codespace,P012_ph202,77.0,231.0,57.0,77.0,0.0,57.0,False,False,False,
ghz4,ghz_star,4,monomial_old_codespace,P012_ph012,78.0,235.0,57.0,78.0,0.0,57.0,False,False,False,
ghz4,ghz_star,4,near_identity,nearid_eps0.01_00,91.0,315.0,69.0,91.0,0.0,69.0,False,False,False,
ghz4,ghz_star,4,near_identity,nearid_eps0.01_01,91.0,315.0,69.0,91.0,0.0,69.0,False,False,False,
ghz4,ghz_star,4,near_identity,nearid_eps0.01_02,91.0,315.0,69.0,91.0,0.0,69.0,False,False,False,
ghz4,ghz_star,4,perturbed_isometry,pert_eps0.01_00,91.0,315.0,69.0,91.0,0.0,69.0,False,False,False,
ghz4,ghz_star,4,perturbed_isometry,pert_eps0.01_01,91.0,315.0,69.0,91.0,0.0,69.0,False,False,False,
ghz4,ghz_star,4,perturbed_isometry,pert_eps0.01_02,91.0,315.0,69.0,91.0,0.0,69.0,False,False,False,
ghz4,ghz_star,4,product,U_Z__V_Z,78.0,235.0,57.0,78.0,0.0,57.0,False,False,False,
ghz4,ghz_star,4,product,U_SX__V_SXdg,78.0,239.0,57.0,78.0,0.0,57.0,False,False,False,
ghz4,ghz_star,4,product,U_SXdg__V_SX,78.0,239.0,57.0,78.0,0.0,57.0,False,False,False,
ghz4,ghz_star,4,real_orthogonal,real_009,86.0,285.0,65.0,86.0,0.0,65.0,False,False,False,
ghz4,ghz_star,4,real_orthogonal,real_000,87.0,286.0,65.0,87.0,0.0,65.0,False,False,False,
ghz4,ghz_star,4,real_orthogonal,real_001,87.0,286.0,65.0,87.0,0.0,65.0,False,False,False,
ghz4,ghz_star,4,structured_entangling,t0.00_p0.52_a0.00,77.0,239.0,57.0,77.0,0.0,57.0,False,False,False,
ghz4,ghz_star,4,structured_entangling,t0.00_p0.79_a0.00,77.0,239.0,57.0,77.0,0.0,57.0,False,False,False,
ghz4,ghz_star,4,structured_entangling,t0.00_p1.05_a0.00,77.0,239.0,57.0,77.0,0.0,57.0,False,False,False,
ghz4,ghz_star,4,two_cz_ansatz,2cz_000,88.0,289.0,65.0,88.0,0.0,65.0,False,False,False,
ghz4,ghz_star,4,two_cz_ansatz,2cz_001,88.0,289.0,65.0,88.0,0.0,65.0,False,False,False,
ghz4,ghz_star,4,two_cz_ansatz,2cz_002,88.0,289.0,65.0,88.0,0.0,65.0,False,False,False,
