state_name,class_name,candidate_name,is_valid,uses_old_codespace_only,avg_codeword_entanglement,overlap_with_old_codespace,best_depth,mean_depth,std_depth,best_size,mean_size,best_two_qubit_gate_count,mean_two_qubit_gate_count,num_qubits,best_count_ops,n_transpile_runs,successful_trials,failed_trials,status,error_message,approx_ref_depth,approx_ref_two_qubit_gate_count,approx_status,approx_error_message,fid085_best_approx_degree,fid085_best_fidelity,fid085_best_depth,fid085_best_two_qubit_gate_count,fid090_best_approx_degree,fid090_best_fidelity,fid090_best_depth,fid090_best_two_qubit_gate_count,fid095_best_approx_degree,fid095_best_fidelity,fid095_best_depth,fid095_best_two_qubit_gate_count,is_baseline_reference,is_trivial_identity,is_baseline_equivalent,skip_reason,pipeline_stage
two_qutrit,baseline,E_old,True,True,0.0,1.0,31.0,38.3,8.54,87.0,92.6,19.0,19.0,128.0,"{'rz': 32, 'rx': 20, 'sx': 16, 'rzz': 10, 'cz': 9, 'barrier': 4}",20,20,0,ok,,18.0,10.0,ok,,0.91,0.857684840799,15.0,8.0,0.95,0.993898155763,15.0,8.0,0.95,0.993898155763,15.0,8.0,True,True,True,,
two_qutrit,monomial_full,sup012_P012_ph001,True,True,0.0,1.0,59.0,66.5,3.81,130.0,117.15,27.0,24.6,128.0,"{'rz': 50, 'rx': 37, 'rzz': 18, 'sx': 16, 'cz': 9, 'barrier': 4}",20,20,0,ok,,22.0,12.0,ok,,0.95,0.884215501443,18.0,10.0,0.96,0.993898155763,19.0,10.0,0.96,0.993898155763,19.0,10.0,False,False,False,,
two_qutrit,monomial_full,sup012_P012_ph002,True,True,0.0,1.0,57.0,64.5,3.77,129.0,115.15,27.0,24.6,128.0,"{'rz': 50, 'rx': 36, 'rzz': 18, 'sx': 16, 'cz': 9, 'barrier': 4}",20,20,0,ok,,20.0,12.0,ok,,0.95,0.884215501443,17.0,10.0,0.96,0.993898155763,17.0,10.0,0.96,0.993898155763,17.0,10.0,False,False,False,,
two_qutrit,monomial_full,sup012_P012_ph010,True,True,0.0,1.0,59.0,65.9,3.52,130.0,117.35,27.0,24.6,128.0,"{'rz': 50, 'rx': 37, 'rzz': 18, 'sx': 16, 'cz': 9, 'barrier': 4}",20,20,0,ok,,22.0,12.0,ok,,0.95,0.884215501443,19.0,10.0,0.96,0.993898155763,19.0,10.0,0.96,0.993898155763,19.0,10.0,False,False,False,,
two_qutrit,monomial_full,sup012_P012_ph011,True,True,0.0,1.0,56.0,64.4,4.24,125.0,114.1,27.0,24.6,128.0,"{'rz': 48, 'rx': 34, 'rzz': 18, 'sx': 16, 'cz': 9, 'barrier': 4}",20,20,0,ok,,20.0,12.0,ok,,0.95,0.884215501443,17.0,10.0,0.96,0.993898155763,17.0,10.0,0.96,0.993898155763,17.0,10.0,False,False,False,,
two_qutrit,monomial_full,sup012_P012_ph012,True,True,0.0,1.0,55.0,61.8,3.66,133.0,112.65,23.0,21.8,128.0,"{'rz': 58, 'rx': 46, 'rzz': 20, 'sx': 6, 'barrier': 4, 'cz': 3}",20,20,0,ok,,18.0,10.0,ok,,0.95,0.904203977558,15.0,8.0,0.95,0.904203977558,15.0,8.0,0.99,0.993898155763,15.0,8.0,False,False,False,,
two_qutrit,monomial_full,sup012_P012_ph020,True,True,0.0,1.0,57.0,64.7,3.87,129.0,115.75,27.0,24.6,128.0,"{'rz': 50, 'rx': 36, 'rzz': 18, 'sx': 16, 'cz': 9, 'barrier': 4}",20,20,0,ok,,20.0,12.0,ok,,0.95,0.884215501443,17.0,10.0,0.96,0.993898155763,17.0,10.0,0.96,0.993898155763,17.0,10.0,False,False,False,,
two_qutrit,monomial_full,sup012_P012_ph021,True,True,0.0,1.0,55.0,61.8,3.66,133.0,112.65,23.0,21.8,128.0,"{'rz': 58, 'rx': 46, 'rzz': 20, 'sx': 6, 'barrier': 4, 'cz': 3}",20,20,0,ok,,18.0,10.0,ok,,0.91,0.857684840799,15.0,8.0,0.95,0.993898155763,15.0,8.0,0.95,0.993898155763,15.0,8.0,False,False,False,,
two_qutrit,monomial_full,sup012_P012_ph022,True,True,0.0,1.0,58.0,65.2,3.64,128.0,115.15,27.0,24.6,128.0,"{'rz': 48, 'rx': 37, 'rzz': 18, 'sx': 16, 'cz': 9, 'barrier': 4}",20,20,0,ok,,21.0,12.0,ok,,0.95,0.884215501443,18.0,10.0,0.96,0.993898155763,18.0,10.0,0.96,0.993898155763,18.0,10.0,False,False,False,,
two_qutrit,monomial_full,sup012_P012_ph100,True,True,0.0,1.0,56.0,64.6,4.32,127.0,115.65,27.0,24.6,128.0,"{'rz': 50, 'rx': 34, 'rzz': 18, 'sx': 16, 'cz': 9, 'barrier': 4}",20,20,0,ok,,20.0,12.0,ok,,0.95,0.895925331402,17.0,10.0,0.96,0.993898155763,17.0,10.0,0.96,0.993898155763,17.0,10.0,False,False,False,,
